zh-CN,en-US
点击>用户管理，进入用户管理界面。,Tap>User management. The User management interface is displayed.
在角色栏，选择工程师或操作员。,"In the [Role] area, selectEngineerorOperator."
点击创建用户，进入创建用户界面。,Tap Create user. The Create user interface is displayed.
上述账号不可进行测序。,You cannot perform the sequencing procedures with the Administrator account logging in to the control software.
点击保存>是。,Tap Save > Yes.
在状态栏，勾选启用。,"In the [Status] area, selectEnable."
根据规则自定义用户名。,Customize the username by following the rule displayed under the [Username] box.
点击，可重置对应用户的密码。,Tap to reset the password of the corresponding user.
点击，可重置用户信息。,Tap to change the user profile such as the username and role.
在操作列，可执行如下操作：,"In theOperationcolumn, you can perform any one of the following operations as required:"
点击，可删除对应用户。,Tap to delete the corresponding user.
创建的用户显示在用户管理列表。,The created user account is displayed in the user management list.
以PE150测序为例，每个测序run将产生大约3.4 L废液。如废液桶空间不足，请及时更换废液桶。,"Take PE150 sequencing as an example. Each run will generate approximately 3.4 L of waste liquid. When the capacity is insufficient, replace the waste container in time to prevent liquid leakage and biological hazards."
以PE150测序为例，每个测序run将产生大约3.4 L废液。如废液桶空间不足，及时更换废液桶。,"Take PE150 sequencing as an example. Each run will generate approximately 3.4 L of waste liquid. When the capacity is insufficient, replace the waste container in time to prevent liquid leakage and biological hazards."
连接废液桶前，预估废液桶空间是否充足。,"Before connecting to the waster container, ensure that the capacity of the waste container is sufficient."
通过软管与仪器连接。,is connected to the device through flexible tubes.
可根据需要选择合适容量的废液桶，并放置到合适位置，以防废液桶被踢倒，导致废液溢出。,Choose a waste container with the appropriate capacity according to your needs and place it in a suitable location to prevent the waste container from being kicked over and causing waste liquid overflow.
~2.7,Approximately 2.7
如废液桶空间不足，请及时更换废液桶。,"When the capacity is insufficient, replace the waste container in time."
登录计算机后，请勿切换账号。,Do not switch users or accounts during operation.
仪器开始自检，完成后进入控制软件登录界面。,"The device starts a self-check. After completion, the control software login interface is displayed."
指示所标出的部分可能是烫的，不要随意触摸,Indicates that the marked item can be hot and should not be touched without taking proper safety precautions
点击界面顶部的蓝色横线，进入控制中心界面。,Tap the blue horizontal line at the top of the interface to open the Control center interface.
警示生物性危险,Biological hazard warning
将试剂槽及插件中残留的液体倒入实验室指定的废液桶中，按照医疗废弃物处理标准，处理试剂槽及插件。,"Empty the remaining liquid in the Sequencing Reagent Cartridge, Washing Cartridge, and inserts into the designated waste container in the laboratory. Dispose of the Cartridges and inserts according to the medical waste disposal standards."
轻按载片回收仓门的，打开仓门，拉出载片收集盒，取出载片，推入载片收集盒。,"Gently press on the flow cell retrieval compartment door to open the door. Slide the flow cell recycling box outward, remove the used flow cell, and slide the box inward until it stops."
所有DNB样本取样完成后，用无滤芯阔口吸头进行混匀。,use wide-bore non-filtered pipette tips to mix the DNBs.
按照实验室按要求及当地的法律法规要求处理废液。,Dispose of the waste liquid according to the disposal standards of your laboratory and local laws and regulations.
当被pooling样本为同样应用或具有类似的插入片段时，根据样本所需的数据量和DNB浓度计算各样本的DNB pooling体积。,The volume (μL) of DNBs needed for each sample for pooling depends on the relative amount for this sample and the total amount of DNBs needed for loading one flow cell which is defined by the specific type of sequencing kit.
每张载片所需样本所需数据量DNB总体积为348 μL，每个样本的pooling体积为：,"Each flow cell requires a total of 270 μL DNBs for the required data output, and the DNB volume required for each sample for pooling is calculated according to the formula below:"
若pooling后DNB总体积低于348 μL，需再次制备DNB直至总体积为348 μL。,"If the total volume of DNBs after pooling is less than 348 μL, make more DNBs until the total volume reaches 348 μL."
根据以下公式，计算每个样本pooling：,Calculate the volume of DNBs required for each sample in pooling according to the formula below:
切勿使用TE缓冲液或其他试剂补足体积。,Do not add Low TE Buffer or any other reagent to bring to the required total volume.
45 μL体系,45 μL DNB reaction mixture
90 μL体系,90 μL DNB reaction mixture
App DNB制备反应混合液1,App Make DNB reaction mixture 1
DNB制备反应混合液1,Make DNB reaction mixture 1
T7+ FCL PE100或T7+ FCL PE150型号的插件试剂盒1中的DNB制备试剂适用于MGI文库：,The Make DNB reagents in DNBSEQ-T7+RS Insert Kit 1 (T7+ FCL PE100) or DNBSEQ-T7+RS Insert Kit 1 (T7+ FCL PE150) are applicable to the MGI libraries:
将DNB制备反应混合液1或App DNB制备反应混合液1用涡旋振荡器振荡混匀，迷你离心机离心5 s，置于PCR仪中进行引物杂交，反应条件见下表：,Mix Make DNB reaction mixture 1 or App Make DNB reaction mixture 1 thoroughly by using the vortex mixer and centrifuge it briefly for 5 s. Place it into the thermal cycler and start primer hybridization reaction. The thermal cycler settings are shown in the table below:
用涡旋振荡器振荡混匀，迷你离心机离心5 s，即刻置于PCR仪中，反应条件如下：,"Mix the mixture thoroughly by using the vortex mixer and centrifuge it briefly for 5 s. Then, place the PCR tube into the thermal cycler immediately and set the reaction conditions according to the table below for rolling circle amplification (RCA) reaction:"
部分品牌的PCR仪的热盖升降温速度慢。在热盖升降温过程中，加热模块处于室温状态，且程序未运行。,"When a reaction protocol is run, some sample blocks of thermal cyclers may remain at room temperature while the lid is being heated or cooled to the operating temperature."
DNB制备滚环扩增条件,RCA conditions
当PCR仪达到4 ℃后取出PCR管，迷你离心机离心5 s后，置于冰上。,"Remove the PCR tube from the thermal cycler when the temperature reaches 4 °C. Centrifuge the tube briefly for 5 s, and place it on ice."
热盖温度建议设置为35 ℃，或尽可能设置成接近35 ℃的最低温度。,It is recommended that you set the temperature of the heated lid to 35 °C or as close as possible to 35 °C.
4 ℃,4 °C
65 ℃,65 °C
40 ℃,40 °C
35 ℃ （热盖）,Heated lid (35 °C)
105 ℃（热盖）,Heated lid (105 °C)
95 ℃,95 °C
30 ℃,30 °C
当PCR仪温度达到4℃后立即取出PCR管置于冰上，加入10 μL DNB终止缓冲液，用无滤芯的阔口吸头缓慢吹打混匀8次。,"Immediately take out the PCR tube from the thermal cycler when the temperature reaches 4 °C, place the tube on ice, and add 10 μL of Stop DNB Reaction Buffer to the tube. Gently mix the product (namely the DNBs) by pipetting 8 times by using a wide-bore, non-filtered pipette tip."
务必使用阔口吸头（不带滤芯）缓慢吹打混匀DNB。,"Do not mix the DNBs by using other tips but a wide-bore, non-filtered pipette tip."
操作过程中，务必将DNB置于冰上。,Keep the DNBs on ice in this step to prevent the DNBs from secondary replication.
切勿离心、振荡及剧烈吹打。,"Do not centrifuge, vortex, or shake the tube."
制备完成的DNB需置于2 ℃~8 ℃。,Store the prepared DNBs at 2 °C to 8 °C.
如磁盘空间仍不足，重复步骤2）-3）继续进行清理数据。,"If the disk space is still insufficient, repeat steps 2) and 3) to clear other run data."
如磁盘空间仍不足，继续进行清理。,"If the disk space is still insufficient, repeat steps 2) and 3) to clear the remaining data."
完成后，如磁盘空间充足，系统自动返回回顾界面。,"After deleting the selecting data, if the disk space is sufficient, the Review interface returns to view."
请谨慎选择。,You should operate with caution.
回顾测序信息，确认各项信息无误后，点击开始测序，在弹窗中选择是，开始测序。,"Carefully check each item in the Review interface and ensure that all information is correct. Tap Start, and select Yes in the pop-up window to start sequencing."
如磁盘空间仍不足，重复步骤2）-3）继续进行清理。,"If the disk space is still insufficient, repeat steps 2) and 3) to clear other run data."
载片ID的格式为MLXXXXXXXXX。,"The flow cell ID is in the format of ML and 9 digits, that is, MLXXXXXXXXX."
如采用PE150测序，每个样本需要50 Gb的数据量，建议每张载片最多同时测序64个样本。,"For PE150 sequencing, if 50 Gb of data is required for each sample, a maximum of 64 samples is recommended to be pooled together for each flow cell."
